100,300,0,0
175,300,0,0
250,300,0,0
400,500,0,0
475,500,0,0
550,500,0,0
700,650,0,0
775,650,0,0
700,950,0,0
775,950,0,0
450,1100,0,0
350,1100,0,0
250,1250,0,0
175,1250,0,0
100,1400,0,0
100,1500,0,0
100,1600,0,0
300,1750,0,0
300,1850,0,0
550,2100,0,0
550,2025,0,0
625,2100,0,0
625,2175,0,0
700,2175,0,0
900,2300,0,0
900,2225,0,0
650,2475,0,0
575,2475,0,0
650,2550,0,0
575,2550,0,0
650,2700,0,0
575,2700,0,0
400,2900,0,0
100,3100,0,0
400,3300,0,0
600,3550,0,0
650,3800,0,0
700,4050,0,0
550,4200,0,0
475,4200,0,0
400,4200,0,0
475,4400,0,0
400,4400,0,0
325,4400,0,0
500,4500,0,0
50,800,0,0
200,950,0,0
275,950,0,0
500,950,0,0
800,300,0,0
850,1500,0,0
900,1550,0,0
550,1450,0,0
700,1650,0,0
650,1800,0,0
525,1700,0,0
250,2300,0,0
100,2500,0,0
90
