200,300,0,0
300,300,0,0
400,300,0,0
200,400,0,0
300,400,0,0
400,400,0,0
200,500,0,0
300,500,0,0
400,500,0,0
400,600,0,0
500,600,0,0
600,600,0,0
400,700,0,0
500,700,0,0
600,700,0,0
400,800,0,0
500,800,0,0
600,800,0,0
600,900,0,0
700,900,0,0
800,900,0,0
600,1000,0,0
700,1000,0,0
800,1000,0,0
600,1100,0,0
700,1100,0,0
800,1100,0,0
400,1200,0,0
500,1200,0,0
600,1200,0,0
400,1300,0,0
500,1300,0,0
600,1300,0,0
400,1400,0,0
500,1400,0,0
600,1400,0,0
200,1500,0,0
300,1500,0,0
400,1500,0,0
200,1600,0,0
300,1600,0,0
400,1600,0,0
200,1700,0,0
300,1700,0,0
400,1700,0,0
400,1800,0,0
500,1800,0,0
600,1800,0,0
400,1900,0,0
500,1900,0,0
600,1900,0,0
400,2000,0,0
500,2000,0,0
600,2000,0,0
600,2100,0,0
700,2100,0,0
800,2100,0,0
600,2200,0,0
700,2200,0,0
800,2200,0,0
600,2300,0,0
700,2300,0,0
800,2300,0,0
400,2400,0,0
500,2400,0,0
600,2400,0,0
400,2500,0,0
500,2500,0,0
600,2500,0,0
400,2600,0,0
500,2600,0,0
600,2600,0,0
200,2700,0,0
300,2700,0,0
400,2700,0,0
200,2800,0,0
300,2800,0,0
400,2800,0,0
200,2900,0,0
300,2900,0,0
400,2900,0,0
400,3000,0,0
500,3000,0,0
600,3000,0,0
400,3100,0,0
500,3100,0,0
600,3100,0,0
400,3200,0,0
500,3200,0,0
600,3200,0,0
600,3300,0,0
700,3300,0,0
800,3300,0,0
600,3400,0,0
700,3400,0,0
800,3400,0,0
600,3500,0,0
700,3500,0,0
800,3500,0,0
